name,url,price,base_elevation_ft,peak_elevation_ft,vertical_drop_ft,slope_mi,state,skiable_acres,annual_snowfall,owner,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,total_lifts,surface_lifts_only,latitude,longitude,nonprofit
Cranor Ski Hill,https://www.skiresort.info/ski-resort/cranor-ski-hill-gunnison/,22.0,7874,8189,315,1.0,Colorado,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Yes,38.586962261632,-106.895818247931,No
Crested Butte,https://www.skiresort.info/ski-resort/crested-butte/,179.0,9101,11877,2776,75.0,Colorado,1547,234,Vail Resorts,0,0,0,0,0,0,0,4,3,3,0,0,0,2,0,0,0,3,15,No,38.8989044753285,-106.965688145434,No
Crotched Mountain,https://www.skiresort.info/ski-resort/crotched-mountain/,94.0,1188,2067,879,5.0,New Hampshire,75,105,Vail Resorts,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,5,No,43.0117944096497,-71.8789622628888,No
Crystal Mountain (Michigan),https://www.skiresort.info/ski-resort/crystal-mountain-mi/,115.38,804,1178,374,3.0,Michigan,103,132,Independent,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,2,8,No,44.5198105230083,-85.9923169096196,No
Crystal Mountain (Washington),https://www.skiresort.info/ski-resort/crystal-mountain-wa/,199.0,4400,7011,2612,31.0,Washington,2600,466,Alterra,0,1,0,0,0,2,0,2,1,2,0,2,0,0,0,0,0,1,11,No,46.9354019219933,-121.474849805705,No
Crystal Ridge,https://www.skiresort.info/ski-resort/the-rock-snowpark/,70.0,702,932,230,1.0,Wisconsin,30,50,Schmitz Brothers,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,5,No,42.9200449360399,-88.0155669009846,No
Dartmouth Skiway,https://www.skiresort.info/ski-resort/dartmouth-skiway/,65.0,974,1942,968,10.0,New Hampshire,104,100,Independent,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,4,No,43.7878873851641,-72.09978476655,No
Deer Valley,https://www.skiresort.info/ski-resort/deer-valley/,299.0,6509,9570,3061,66.0,Utah,2026,300,Alterra,0,2,0,0,0,2,0,20,1,5,0,1,0,0,0,1,0,5,37,No,40.6371959568097,-111.478197937968,No
Detroit Mountain,https://www.skiresort.info/ski-resort/detroit-mountain/,52.0,1444,1608,164,1.0,Minnesota,45,47,Independent,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,6,No,46.8132100326255,-95.7837874701962,Yes
Devil’s Head,https://www.skiresort.info/ski-resort/devils-head/,95.0,492,994,502,6.0,Wisconsin,300,70,Independent,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,8,No,43.4185257775061,-89.6267086497673,No
Diamond Peak,https://www.skiresort.info/ski-resort/diamond-peak/,180.0,6699,8537,1837,10.0,Nevada,655,188,Independent,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,1,7,No,39.2537469292922,-119.923804332164,No
Discovery Ski Area,https://www.skiresort.info/ski-resort/discovery-ski-area/,65.0,5768,8150,2382,28.0,Montana,2200,215,Independent,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,1,8,No,46.2494550872273,-113.238454460882,No
Dodge Ridge,https://www.skiresort.info/ski-resort/dodge-ridge/,109.0,6598,8199,1601,31.0,California,862,300,California Mountain Resort Company,0,0,0,0,0,0,0,0,1,3,0,3,0,1,0,0,1,2,11,No,38.1896088238942,-119.956636379746,No
Donner Ski Ranch,https://www.skiresort.info/ski-resort/donner-ski-ranch/,99.0,7028,7779,751,32.0,California,460,396,Independent,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,7,No,39.3183704268204,-120.330170801418,No
Dry Hill,https://www.skiresort.info/ski-resort/dry-hill/,50.0,712,984,272,1.0,New York,42,125,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,No,43.9309944454555,-75.9015954266134,No
Dynamite Hill,https://www.skiresort.info/ski-resort/dynamite-hill-chestertown/,0.0,830,922,92,0.1,New York,8,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes,43.6590170168698,-73.7972756115119,No
Eagle Point,https://www.skiresort.info/ski-resort/eagle-point/,90.0,9098,10597,1499,12.0,Utah,650,400,Independent,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,5,No,38.3202765202732,-112.384067965442,No
Eaglecrest,https://www.skiresort.info/ski-resort/eaglecrest-juneau/,75.0,1148,2690,1542,11.0,Alaska,640,350,Independent,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,No,58.2744014134941,-134.512719943021,No
Echo Mountain – Idaho Springs,https://www.skiresort.info/ski-resort/echo-mountain-park-idaho-springs/,79.0,10499,11158,659,2.0,Colorado,60,150,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,No,39.684515618697,-105.519414261192,No
Echo Valley – Lake Chelan,https://www.skiresort.info/ski-resort/echo-valley-lake-chelan/,40.0,2618,3110,492,1.0,Washington,70,100,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,Yes,47.9357936901783,-120.05525877244,No
Eldora Mountain,https://www.skiresort.info/ski-resort/eldora-mountain/,199.0,9199,10801,1601,32.0,Colorado,680,300,Powdr,0,0,0,0,0,1,0,0,2,1,0,3,0,0,0,1,1,1,10,No,39.936907670782,-105.58362274104,No
Elk Mountain,https://www.skiresort.info/ski-resort/elk-mountain/,89.0,1706,2690,984,9.0,Pennsylvania,140,65,Independent,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,6,No,41.7230922724518,-75.5533631304153,No
Elko Snowbowl,https://www.skiresort.info/ski-resort/elko-snobowl/,20.0,6339,6988,650,2.0,Nevada,60,24,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,No,40.9087182990652,-115.854217229024,No
Ferguson Ridge,https://www.skiresort.info/ski-resort/ferguson-ridge/,20.0,5200,5840,640,3.0,Oregon,170,300,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,Yes,45.2818285027238,-117.112116090316,No
Fort Wainwright – Birch Hill,https://www.skiresort.info/ski-resort/fort-wainwrightbirch-hill-fairbanks/,30.0,459,984,525,3.0,Alaska,,,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,No,64.8585918456996,-147.619431540999,No
Four Lakes,https://www.skiresort.info/ski-resort/four-lakes/,30.0,656,722,66,1.0,Illinois,9,24,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,Yes,41.7807983122941,-88.0832867666979,No
Four Seasons,https://www.skiresort.info/ski-resort/four-seasons/,30.0,525,607,82,0.5,New York,25,125,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,No,43.0357831001274,-75.9721773178541,No
Frisco Adventure Park,https://www.skiresort.info/ski-resort/frisco-adventure-park/,55.0,9085,9163,79,0.1,Colorado,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Yes,39.573684425141,-106.077682971732,No
Frost Fire Park,https://www.skiresort.info/ski-resort/frost-fire-park/,50.0,1083,1444,361,1.0,North Dakota,30,35,Independent,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,No,48.9120255438674,-98.0686432833885,No
Giants Ridge,https://www.skiresort.info/ski-resort/giants-ridge/,64.0,1444,1837,394,7.0,Minnesota,165,62,Independent,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,2,7,No,47.5762880634521,-92.3034803393746,Yes
Gore Mountain,https://www.skiresort.info/ski-resort/gore-mountain/,109.0,997,3599,2602,36.0,New York,439,150,New York State,0,1,0,0,0,0,0,3,6,1,0,0,0,0,1,0,0,2,14,No,43.6727116846365,-74.0074677758006,Yes
Granby Ranch,https://www.skiresort.info/ski-resort/granby-ranch/,164.0,8199,9199,1001,12.0,Colorado,406,120,Independent,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,2,6,No,40.0446160179453,-105.906278859327,No
Grand Geneva,https://www.skiresort.info/ski-resort/grand-geneva/,70.0,787,997,210,1.0,Wisconsin,20,46,Independent,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,6,No,42.6113706796109,-88.3864054634684,No
Grand Targhee,https://www.skiresort.info/ski-resort/grand-targhee/,170.0,7651,9862,2211,35.0,Wyoming,2602,500,Independent,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,1,6,No,43.7888594489091,-110.957590249613,No
Granite Gorge,https://www.skiresort.info/ski-resort/granite-gorge/,55.0,801,1325,525,4.0,New Hampshire,25,100,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,No,42.9708916180167,-72.2120761898773,No
Granite Peak,https://www.skiresort.info/ski-resort/granite-peak-at-rib-mountain-state-park/,105.0,1247,1949,702,12.0,Wisconsin,155,75,Midwest Family Ski Resorts,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,2,7,No,44.929020884139,-89.683766937317,No
Granlibakken,https://www.skiresort.info/ski-resort/granlibakken/,45.0,6312,6611,299,1.0,California,25,170,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,Yes,39.1554361019215,-120.154048740325,No
Great Bear Ski Valley,https://www.skiresort.info/ski-resort/great-bear-ski-valley/,35.0,1345,1542,197,2.0,South Dakota,20,49,Independent,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,No,43.5779634092926,-96.6649009549158,No
Great Divide,https://www.skiresort.info/ski-resort/great-divide/,68.0,5748,7251,1503,31.0,Montana,1600,180,Independent,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,6,No,46.7526346800267,-112.314192899339,No
Greek Peak,https://www.skiresort.info/ski-resort/greek-peak/,115.0,1148,2100,951,12.0,New York,220,122,Independent,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,2,8,No,42.507952835637,-76.145009035926,No
Gunstock,https://www.skiresort.info/ski-resort/gunstock/,109.0,866,2264,1398,25.0,New Hampshire,227,120,Independent,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,3,8,No,43.5407035680523,-71.3665668479944,Yes
Hanson Hills,https://www.skiresort.info/ski-resort/hanson-hills/,30.0,1148,1280,131,1.0,Michigan,125,60,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,Yes,44.6455937707218,-84.7536994088373,No
Hard’ack (Aldis Hill),https://www.skiresort.info/ski-resort/hardack-aldis-hill-st-albans/,0.0,623,755,131,0.1,Vermont,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes,44.8153058326591,-73.0666027860906,Yes
Hatley Pointe,https://www.skiresort.info/ski-resort/wolf-ridge/,88.0,3999,4698,699,4.0,North Carolina,72,65,Independent,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,5,No,35.9541380045367,-82.5088419613478,No
Heavenly,https://www.skiresort.info/ski-resort/heavenly/,265.0,6657,10067,3410,58.0,California,4800,360,Vail Resorts,1,1,0,0,0,2,0,8,1,5,0,2,0,0,0,0,2,4,26,No,38.9347057927039,-119.940079125155,No
Hermon Mountain,https://www.skiresort.info/ski-resort/hermon-mountain/,55.0,164,459,295,2.0,Maine,60,90,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,No,44.7806330628185,-68.9570670554077,No
Hesperus Ski Area,https://www.skiresort.info/ski-resort/hesperus-ski-area/,48.0,8278,8878,600,6.0,Colorado,60,150,Mountain Capital Partners,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,No,37.2985613131526,-108.055322022662,No
Hiawatha – Rock River Township,https://www.skiresort.info/ski-resort/hiawatha-rock-river-township/,5.0,850,938,89,0.3,Michigan,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes,46.3581714755926,-86.8812239069032,No
Hidden Valley (Missouri),https://www.skiresort.info/ski-resort/hidden-valley-mo/,52.0,492,787,295,2.0,Missouri,65,19,Vail Resorts,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,1,1,7,No,38.5351202062255,-90.6509531632514,No
Hidden Valley (Pennsylvania),https://www.skiresort.info/ski-resort/hidden-valley-pa/,76.0,2395,2920,525,6.0,Pennsylvania,110,140,Vail Resorts,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,8,No,40.0577928580795,-79.2578199930338,No
Hillberg,https://www.skiresort.info/ski-resort/hillberg/,28.0,131,394,262,1.0,Alaska,,,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,No,61.2751919629919,-149.82116625393,No
Hilltop,https://www.skiresort.info/ski-resort/hilltop-anchorage/,39.0,492,787,295,3.0,Alaska,30,76,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,No,61.1409961476271,-149.744703410311,Yes
Hoedown Hill,https://www.skiresort.info/ski-resort/hoedown-hill-windsor/,51.0,4839,4970,131,1.0,Colorado,12,24,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,Yes,40.452640007411,-104.930769837536,No
Hogadon Ski Area,https://www.skiresort.info/ski-resort/hogadon-ski-area/,60.0,7398,7999,600,3.0,Wyoming,60,140,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,No,42.7445338188477,-106.338362242757,Yes
Holiday Mountain (New York),https://www.skiresort.info/ski-resort/holiday-mountain-ny/,75.0,1050,1444,394,2.0,New York,37,90,Independent,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,No,41.6264933413898,-74.6109681445628,No
Holiday Valley,https://www.skiresort.info/ski-resort/holiday-valley/,105.0,1499,2247,748,30.0,New York,290,180,Independent,0,0,0,0,0,1,0,3,7,0,0,0,0,0,0,0,0,2,13,No,42.2625035071625,-78.6653806301598,No
Holimont,https://www.skiresort.info/ski-resort/holimont/,114.0,1558,2260,702,12.0,New York,135,180,Independent,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,2,8,No,42.2729118230291,-78.6877224644232,No
Homewood Mountain Resort,https://www.skiresort.info/ski-resort/homewood-mountain-resort/,159.0,6230,7881,1650,12.0,California,1260,450,JMA Ventures,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,1,6,No,39.0853334379431,-120.1619123945,No
Hoodoo Ski Area,https://www.skiresort.info/ski-resort/hoodoo-ski-area/,85.0,4692,5709,1017,11.0,Oregon,806,350,Independent,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1,6,No,44.4084752556319,-121.871405074466,No
Howelsen Hill,https://www.skiresort.info/ski-resort/howelsen-hill-steamboat-springs/,49.0,6693,7136,443,2.0,Colorado,50,170,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,4,No,40.4833852695287,-106.83845825946,Yes
Huff Hills,https://www.skiresort.info/ski-resort/huff-hills/,39.0,1870,2231,361,2.0,North Dakota,80,40,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,4,No,46.6268871105075,-100.723374935725,No
Hunt Hollow Ski Club,https://www.skiresort.info/ski-resort/hunt-hollow-ski-club/,70.0,1132,2008,876,3.0,New York,80,130,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,4,No,42.6459959711726,-77.4782967224263,No
Hunter Mountain,https://www.skiresort.info/ski-resort/hunter-mountain/,119.0,1598,3199,1601,34.0,New York,320,120,Vail Resorts,0,0,0,0,0,3,0,1,2,1,0,2,0,0,0,1,0,3,13,No,42.2045265507671,-74.2108603032475,No
Hurricane Ridge,https://www.skiresort.info/ski-resort/hurricane-ridge/,57.0,4800,5499,699,1.0,Washington,250,400,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,Yes,47.9693016642462,-123.498458212375,No
Hyland Hills,https://www.skiresort.info/ski-resort/hyland-hills/,44.0,853,1017,164,1.0,Minnesota,35,60,Independent,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,2,8,No,44.8437267252721,-93.3637614531589,Yes
Jack Frost Mountain,https://www.skiresort.info/ski-resort/jack-frost-mountain/,105.0,1401,2001,600,7.0,Pennsylvania,100,50,Vail Resorts,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,6,No,41.1075794353382,-75.6519291686943,No
Jackson Hole,https://www.skiresort.info/ski-resort/jackson-hole/,269.0,6312,10449,4137,72.0,Wyoming,2500,459,Independent,1,2,0,0,0,0,0,6,3,0,0,1,0,0,0,0,1,2,16,No,43.5893595892153,-110.82849785039,No
Jay Peak,https://www.skiresort.info/ski-resort/jay-peak/,129.0,1847,3855,2008,47.0,Vermont,385,349,Pacific Group Resorts,1,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,2,9,No,44.9384784616126,-72.5062957979276,No
Jiminy Peak,https://www.skiresort.info/ski-resort/jiminy-peak/,109.0,1247,2375,1129,6.0,Massachusetts,170,100,Independent,0,0,0,0,0,1,0,0,2,3,0,1,0,0,0,0,0,2,9,No,42.5551067560408,-73.290749250716,No
John & Melissa Besse Sports Park – Gladstone,https://www.skiresort.info/ski-resort/john-melissa-besse-sports-park-gladstone/,12.0,643,748,105,0.4,Michigan,25,50,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,Yes,45.8604473436724,-87.0376130987832,No
June Mountain,https://www.skiresort.info/ski-resort/june-mountain/,199.0,7507,10089,2582,25.0,California,1500,250,Alterra,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,7,No,37.7679730434281,-119.090472342176,No
Kelly Canyon,https://www.skiresort.info/ski-resort/kelly-canyon/,79.0,5807,6660,853,7.0,Idaho,640,200,Independent,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,4,No,43.6457218544875,-111.629520322929,No
Kendall Mountain,https://www.skiresort.info/ski-resort/kendall-mountain-silverton/,26.0,9318,9843,525,1.0,Colorado,16,200,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,No,37.8112870858261,-107.656883876614,No
Kettlebowl,https://www.skiresort.info/ski-resort/kettlebowl/,10.0,1617,1778,161,1.0,Wisconsin,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,Yes,45.2717884587547,-88.8995523344941,No
Keyes Peak,https://www.skiresort.info/ski-resort/keyes-peak/,15.0,1312,1476,164,0.3,Wisconsin,15,60,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,Yes,45.8957004682133,-88.2993912608995,No
Keystone,https://www.skiresort.info/ski-resort/keystone/,292.0,9301,12280,2979,84.0,Colorado,3149,235,Vail Resorts,0,2,0,0,0,4,0,3,1,1,0,2,0,0,0,0,0,7,20,No,39.6045019679104,-105.954063903235,No
Killington,https://www.skiresort.info/ski-resort/killington/,199.0,1165,4242,3077,73.0,Vermont,1509,250,Powdr,0,2,0,0,0,2,0,4,5,2,0,1,0,0,0,1,0,3,20,No,43.6172250681186,-72.8034997593375,No
King Pine,https://www.skiresort.info/ski-resort/king-pine-purity-spring-resort/,82.0,476,787,312,3.0,New Hampshire,45,82,Independent,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,5,No,43.8678806436834,-71.0895126044749,No
Kirkwood,https://www.skiresort.info/ski-resort/kirkwood/,187.0,7799,9800,2001,40.0,California,2300,354,Vail Resorts,0,0,0,0,0,0,0,2,1,6,0,1,0,1,0,0,0,2,13,No,38.6830465895021,-120.066531160618,No
Kissing Bridge,https://www.skiresort.info/ski-resort/kissing-bridge/,88.0,1240,1706,466,11.0,New York,,182,Independent,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,2,1,9,No,42.5998115787149,-78.6527952549621,No
Labrador Mountain,https://www.skiresort.info/ski-resort/labrador-mountain/,74.0,1181,1870,689,11.0,New York,250,125,Independent,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,2,0,6,No,42.7409557418233,-76.0300862573546,No
Lake City Ski Hill,https://www.skiresort.info/ski-resort/lake-city-ski-hill/,30.0,8868,9091,223,1.0,Colorado,14,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Yes,38.0110533359667,-107.311863054551,No
Las Vegas Ski and Snowboard Resort – Lee Canyon,https://www.skiresort.info/ski-resort/las-vegas-ski-and-snowboard-resort-lee-canyon/,84.0,8694,9370,676,5.0,Nevada,195,129,Mountain Capital Partners,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,5,No,36.3033375598719,-115.679687892018,No
Laurel Mountain,https://www.skiresort.info/ski-resort/laurel-mountain/,66.0,1998,2759,761,5.0,Pennsylvania,70,41,Vail Resorts,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,No,40.1638698734738,-79.165512049526,No
Leavenworth Ski Hill,https://www.skiresort.info/ski-resort/leavenworth-ski-hill/,26.0,1476,1706,230,1.0,Washington,17,150,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,Yes,47.614442256247,-120.668934597124,Yes
Lee’s Ski Hill,https://www.skiresort.info/ski-resort/lees-ski-hill-ouray/,0.0,7887,7959,72,0.1,Colorado,2,134,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes,38.0193543842194,-107.669045188845,No
Liberty Mountain,https://www.skiresort.info/ski-resort/liberty-mountain/,84.0,591,1165,574,6.0,Pennsylvania,100,31,Vail Resorts,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,7,No,39.7636436523238,-77.3754207896992,No
Little Ski Hill,https://www.skiresort.info/ski-resort/little-ski-hill/,25.0,5184,5577,394,1.0,Idaho,50,180,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Yes,44.9300560715823,-116.16326809432,No
Little Switzerland,https://www.skiresort.info/ski-resort/little-switzerland/,80.0,1083,1247,164,2.0,Wisconsin,50,45,Schmitz Brothers,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,2,9,No,43.3378180103545,-88.2789297026259,No
Living Memorial Park – Brattleboro,https://www.skiresort.info/ski-resort/living-memorial-park-brattleboro/,5.0,433,620,187,0.3,Vermont,8,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Yes,42.8481991450278,-72.5857086781687,Yes
Lonesome Pine,https://www.skiresort.info/ski-resort/lonesome-pine-trails-fort-kent/,30.0,568,981,413,3.0,Maine,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,Yes,47.245962492741,-68.5947109094748,No
Lookout Pass,https://www.skiresort.info/ski-resort/lookout-pass/,73.0,4501,6152,1650,25.0,Idaho,1023,400,Independent,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,5,No,47.4560238000208,-115.697383151458,No
Loon Mountain,https://www.skiresort.info/ski-resort/loon-mountain/,145.0,860,3051,2192,30.0,New Hampshire,400,160,Boyne Resorts,0,1,1,0,1,0,0,3,2,0,0,4,0,0,0,0,0,2,14,No,44.055240138564,-71.6349580611254,No
Lost Trail Powder Mountain,https://www.skiresort.info/ski-resort/lost-trail-powder-mountain/,68.0,6430,8366,1936,31.0,Montana,1800,325,Independent,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,6,No,45.6919504813854,-113.952199685546,No
Lost Valley,https://www.skiresort.info/ski-resort/lost-valley/,66.0,256,545,289,1.0,Maine,45,99,Independent,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,4,No,44.1360017774864,-70.2808407538408,No
Loup Loup Ski Bowl,https://www.skiresort.info/ski-resort/loup-loup-ski-bowl/,70.0,4068,5315,1247,7.0,Washington,550,150,Independent,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,No,48.3941812890481,-119.91114568404,No
Loveland,https://www.skiresort.info/ski-resort/loveland/,149.0,10646,12700,2054,58.0,Colorado,1800,422,Independent,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,7,No,39.6809795033515,-105.897469080953,No
Lutsen Mountains,https://www.skiresort.info/ski-resort/lutsen-mountains/,105.0,863,1690,827,25.0,Minnesota,393,120,Midwest Family Ski Resorts,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,7,No,47.6640809719027,-90.7133168699301,No
Lyndon Outing Club,https://www.skiresort.info/ski-resort/lyndon-outing-club/,15.0,853,1247,394,2.0,Vermont,18,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,Yes,44.533266212434,-71.9871816771729,Yes
Mad River Glen,https://www.skiresort.info/ski-resort/mad-river-glen/,99.0,1598,3635,2037,29.0,Vermont,115,250,Independent,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,5,No,44.2024365758659,-72.9176184544531,No
Mad River Mountain,https://www.skiresort.info/ski-resort/mad-river-mountain/,59.0,1158,1460,302,4.0,Ohio,144,36,Independent,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,3,1,9,No,40.3172137811819,-83.6786803473792,No
Magic Mountain (Idaho),https://www.skiresort.info/ski-resort/magic-mountain-resort/,40.0,6499,7241,741,7.0,Idaho,120,230,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,No,42.1889478686764,-114.285421601892,No
Magic Mountain (Vermont),https://www.skiresort.info/ski-resort/magic-mountain/,89.0,1148,2848,1699,14.0,Vermont,205,150,Independent,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,5,No,43.2016581739691,-72.7724161235869,No
Mammoth Mountain,https://www.skiresort.info/ski-resort/mammoth-mountain/,259.0,7953,11053,3100,56.0,California,3500,400,Alterra,0,2,0,0,0,4,0,8,1,6,0,3,0,0,0,1,0,2,27,No,37.6505605971238,-119.037074193745,No
Maple Ski Ridge,https://www.skiresort.info/ski-resort/maple-ski-ridge/,43.0,538,820,282,1.0,New York,60,60,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,4,No,42.8170310293506,-74.0322733289397,No
Marquette Mountain,https://www.skiresort.info/ski-resort/marquette-mountain/,80.0,787,1280,492,6.0,Michigan,330,210,Independent,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,4,No,46.5081094953739,-87.4208446846992,No
Massanutten,https://www.skiresort.info/ski-resort/massanutten/,95.0,1749,2858,1109,5.0,Virginia,70,35,Independent,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,7,No,38.4034887492902,-78.7547990154079,No
Maverick Mountain,https://www.skiresort.info/ski-resort/maverick-mountain/,49.0,6496,8517,2021,12.0,Montana,255,250,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,No,45.4339652054196,-113.128580027769,No
McCauley Mountain,https://www.skiresort.info/ski-resort/mccauly-mountain/,40.0,1772,2297,525,6.0,New York,75,180,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,5,No,43.6980626525479,-74.9635750709885,No
